Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[1]	DS_Pr[0]	MV_Pr[1]	MV_Pr[0]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
594	0	0	0	0	0	0.0088	0.9912	0.0000	1.0000	0.0174	0.0000	0.0088	0.0000	0.0088	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0088	0.0000	98.24%	100.00%	96.51%	100.00%	98.24%	100.00%	100.00%	100.00%	100.00%	100.00%	98.24%	100.00%
595	1	1	1	1	1	0.9987	0.0014	0.8000	0.2000	0.0027	0.3200	0.0014	0.2000	0.0014	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0014	0.2000	99.73%	60.00%	99.46%	36.00%	99.73%	60.00%	100.00%	100.00%	100.00%	100.00%	99.73%	60.00%
596	0	0	0	0	0	0.0420	0.9580	0.0000	1.0000	0.0804	0.0000	0.0420	0.0000	0.0420	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0420	0.0000	91.61%	100.00%	83.92%	100.00%	91.61%	100.00%	100.00%	100.00%	100.00%	100.00%	91.61%	100.00%
597	0	1	1	1	1	0.9804	0.0197	0.6000	0.4000	0.0385	0.4800	0.0197	0.4000	0.0197	0.4000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9804	0.6000	96.07%	20.00%	92.29%	4.00%	96.07%	20.00%	-100.00%	-100.00%	-100.00%	-100.00%	-96.07%	-20.00%
598	1	1	1	1	1	0.9992	0.0008	0.6000	0.4000	0.0015	0.4800	0.0008	0.4000	0.0008	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0008	0.4000	99.85%	20.00%	99.70%	4.00%	99.85%	20.00%	100.00%	100.00%	100.00%	100.00%	99.85%	20.00%
599	1	0	0	0	0	0.0521	0.9479	0.0000	1.0000	0.0988	0.0000	0.0521	0.0000	0.0521	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9479	1.0000	89.58%	100.00%	80.25%	100.00%	89.58%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-89.58%	-100.00%
6	0	0	0	0	0	0.0368	0.9632	0.0000	1.0000	0.0709	0.0000	0.0368	0.0000	0.0368	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0368	0.0000	92.64%	100.00%	85.83%	100.00%	92.64%	100.00%	100.00%	100.00%	100.00%	100.00%	92.64%	100.00%
60	0	0	0	0	0	0.0166	0.9834	0.0000	1.0000	0.0326	0.0000	0.0166	0.0000	0.0166	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0166	0.0000	96.69%	100.00%	93.48%	100.00%	96.69%	100.00%	100.00%	100.00%	100.00%	100.00%	96.69%	100.00%
600	1	1	1	1	1	0.9945	0.0056	0.8000	0.2000	0.0110	0.3200	0.0056	0.2000	0.0056	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0056	0.2000	98.89%	60.00%	97.79%	36.00%	98.89%	60.00%	100.00%	100.00%	100.00%	100.00%	98.89%	60.00%
601	1	0	0	0	0	0.1994	0.8006	0.2000	0.8000	0.3193	0.3200	0.1994	0.2000	0.1994	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.8006	0.8000	60.11%	60.00%	36.13%	36.00%	60.11%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-60.11%	-60.00%
